X,Y,OBJECTID,NAME,SCHOOL_STREET_ADDRESS,SCHOOL_CITY,SCHOOL_STATE,SCHOOL_COUNTY,PUBLIC_SCHOOL_DISTRICT,FOR_PROFIT_OR_NON_PROFIT,SCHOOL_ZIP,SCHOOL_WEBSITE
-122.375636843833,47.5388730567524,43,Our Lady of Guadalupe Catholic School,3401 SW Myrtle St,Seattle,WA,King,Seattle,Non-profit,98126,www.guadalupe-school.org
-122.289355217942,47.6935353739048,44,Our Lady of the Lake Catholic School,3520 NE 89th Ave,Seattle,WA,King,Seattle,Non-profit,98115,www.ollseattle.org
-122.364169226549,47.6602316082683,45,Pacific Crest School,600 NW Bright St,Seattle,WA,King,Seattle,Non-profit,98107,www.pacificcrest.org
-122.324268587733,47.596288764281,46,Puget Sound Community School,660 S Dearborn St,Seattle,WA,King,Seattle,Non-profit,98134,www.pscs.org
-122.316298684627,47.6126593759013,47,Seattle Academy of Arts and Sciences,1201 E Union Street,Seattle,WA,King,Seattle,Non-profit,98122,www.seattleacademy.org
-122.320722244752,47.6323875975501,48,Seattle Amistad School,1501 10th Ave. E.,Seattle,WA,King,Seattle,Non-profit,98102,seattleamistadschool.org
-122.354975453566,47.7090125602819,49,Seattle Area German American School,11010 Greenwood Ave N,Seattle,WA,King,Seattle,Non-profit,98133,www.sagaschool.org
-122.305956234211,47.6032013451506,50,Seattle Classical Christian School,172 20th Ave,Seattle,WA,King,Seattle,Non-profit,98122,www.seattleclassicalchristianschool.org
-122.350899616056,47.6434406865405,51,Seattle Country Day School,2619 4th Ave N,Seattle,WA,King,Seattle,Non-profit,98109,www.seattlecountryday.org
-122.300445391987,47.5880253465801,52,Seattle Girls' School,1700 24th Avenue South,Seattle,WA,King,Seattle,Non-profit,98144,www.seattlegirlsschool.org
-122.307926384761,47.6344224254426,53,Seattle Hebrew Academy,1617 Interlaken Dr E,Seattle,WA,King,Seattle,Non-profit,98112,www.seattlehebrewacademy.org
